Positive_ID,ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume solvente,Hydration_Number,Counterion_Class,Oxidation_State,Procedura_Sintetica,Esito_ML,Positive_Library_Source,Split_Set,Critical_Completeness,Extended_Completeness,Completeness_Score,Source_Quality_Score,Diversity_Weight,Evidence_Weight,Quality_Tier,PXRD_Confirmed,Condition_Signature,Source_DOI,Extraction_Method
POS-0027,387,"Ru1 scambio anionico FW=868,73",Organometallica - scambio anionico,Ru,"4,4'-bipiridina",MeCN,Nessuno,120,24.0,0.04,0.04,1.0,,0.0,iodide,,"Dopo 5h la soluzione ha cambiato colore, ora faccio evaporare un pò di solvente per vedere se verrà giu qualcosa. Una volta dimezzato il volume ho aggiunto 5 ml di dietil etere e poi posto a scaldare su piastra per circa 15 minuti, ho nontato un precipitato nerastro, fatto raffreddare e posto in frigo per vedere se continuerà a venire giu.",2,curated_development_positive,DEVELOPMENT,1.0,0.75,0.9375,0.82,1.0,0.91475,A,True,ru|organometallica - scambio anionico|iodide|mecn|nessuno|120|24|1.0,,curated_project_dataset
POS-0028,388,"Ru1,2",Organometallica,Ru,CAgF3SO3,CH2Cl2,Nessuno,120,3.0,0.04,0.08,0.5,,0.0,other,,"Precipitato bianco formatosi alla fine delle 4 ore, filtrato e lasciato ridurre di volume all'aria.",2,curated_development_positive,DEVELOPMENT,1.0,0.75,0.9375,0.82,0.8660254037844385,0.8879550807568877,A,True,ru|organometallica|other|ch2cl2|nessuno|120|0|0.5,,curated_project_dataset
POS-0029,401,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,120,24.0,0.7,2.2,0.3182,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2773500981126145,0.7858450196225228,A,True,zn|non specificata|nitrate|dmf|nessuno|120|24|0.25,,curated_project_dataset
POS-0030,403,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Zr,ZrCl4,DMF/HCl,Nessuno,120,24.0,1.5,1.5,1.0,,0.0,chloride,4.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.15,0.760375,B,True,zr|non specificata|chloride|dmf/hcl|nessuno|120|24|1.0,,curated_project_dataset
POS-0031,405,2-Nitroterephthalic acid,Non specificata,Zr,ZrCl4,DMF/HCl,Nessuno,120,24.0,1.0,1.0,1.0,,0.0,chloride,4.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.15,0.760375,B,True,zr|non specificata|chloride|dmf/hcl|nessuno|120|24|1.0,,curated_project_dataset
POS-0032,406,"4,4'-Biphenyldicarboxylic acid (H2BPDC)",Non specificata,Zr,ZrCl4,DMF/HCl,Nessuno,120,24.0,1.0,1.0,1.0,,0.0,chloride,4.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.15,0.760375,B,True,zr|non specificata|chloride|dmf/hcl|nessuno|120|24|1.0,,curated_project_dataset
POS-0033,407,2-Methylimidazole,Non specificata,Zn,Zn(NO3)2·6H2O,MeOH,Nessuno,25,12.0,4.0,1.0,4.0,,6.0,nitrate,2.0,Precipitation,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2773500981126145,0.7858450196225228,A,True,zn|non specificata|nitrate|meoh|nessuno|20|12|4.0,,curated_project_dataset
POS-0034,408,2-Methylimidazole,Non specificata,Co,Co(NO3)2·6H2O,MeOH,Nessuno,25,24.0,4.0,1.0,4.0,,6.0,nitrate,2.0,Precipitation,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3162277660168379,0.7936205532033676,A,True,co|non specificata|nitrate|meoh|nessuno|20|24|4.0,,curated_project_dataset
POS-0035,409,Benzimidazole,Non specificata,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,130,48.0,6.0,1.5,4.0,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.16012815380508713,0.7624006307610174,B,True,zn|non specificata|nitrate|dmf|nessuno|130|48|4.0,,curated_project_dataset
POS-0036,410,Benzimidazole,Non specificata,Zn,Zn(NO3)2·6H2O,MeOH/Toluene,Nessuno,100,24.0,3.2,0.8,4.0,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2773500981126145,0.7858450196225228,A,True,zn|non specificata|nitrate|meoh/toluene|nessuno|100|24|4.0,,curated_project_dataset
POS-0037,411,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Al,Al(NO3)3·9H2O,H2O,Nessuno,220,72.0,3.0,3.0,1.0,,9.0,nitrate,3.0,Hydrothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.28474739872574967,0.78732447974515,A,True,al|non specificata|nitrate|h2o|nessuno|220|72|1.0,,curated_project_dataset
POS-0038,412,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Cr,Cr(NO3)3·9H2O,H2O/HF,Nessuno,220,72.0,5.0,5.0,1.0,,9.0,nitrate,3.0,Hydrothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.8660254037844385,0.9035800807568877,A,True,cr|non specificata|nitrate|h2o/hf|nessuno|220|72|1.0,,curated_project_dataset
POS-0039,413,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Fe,FeCl3·6H2O,DMF,Nessuno,150,15.0,5.0,5.0,1.0,,6.0,chloride,3.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2886751345948128,0.7881100269189626,A,True,fe|non specificata|chloride|dmf|nessuno|150|12|1.0,,curated_project_dataset
POS-0040,416,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Cr,Cr(NO3)3·9H2O,H2O/HF,Nessuno,220,8.0,4.0,4.0,1.0,,9.0,nitrate,3.0,Hydrothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.8660254037844385,0.9035800807568877,A,True,cr|non specificata|nitrate|h2o/hf|nessuno|220|6|1.0,,curated_project_dataset
POS-0041,417,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Fe,FeCl3·6H2O,DMF,Nessuno,110,20.0,1.5,3.0,0.5,,6.0,chloride,3.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2886751345948128,0.7881100269189626,A,True,fe|non specificata|chloride|dmf|nessuno|110|18|0.5,,curated_project_dataset
POS-0042,418,"2,5-Dihydroxyterephthalic acid (H4DOBDC)",Non specificata,Mg,Mg(NO3)2·6H2O,DMF/H2O/EtOH,Nessuno,125,24.0,1.0,3.3,0.303,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.48038446141526137,0.8264518922830523,A,True,mg|non specificata|nitrate|dmf/h2o/etoh|nessuno|120|24|0.25,,curated_project_dataset
POS-0043,419,"2,5-Dihydroxyterephthalic acid (H4DOBDC)",Non specificata,Zn,Zn(NO3)2·6H2O,DMF/H2O/EtOH,Nessuno,100,24.0,1.0,3.3,0.303,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2773500981126145,0.7858450196225228,A,True,zn|non specificata|nitrate|dmf/h2o/etoh|nessuno|100|24|0.25,,curated_project_dataset
POS-0044,420,"2,5-Dihydroxyterephthalic acid (H4DOBDC)",Non specificata,Ni,Ni(NO3)2·6H2O,DMF/H2O/EtOH,Nessuno,120,24.0,1.0,3.3,0.303,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3396831102433787,0.7983116220486758,A,True,ni|non specificata|nitrate|dmf/h2o/etoh|nessuno|120|24|0.25,,curated_project_dataset
POS-0045,421,"2,5-Dihydroxyterephthalic acid (H4DOBDC)",Non specificata,Co,Co(NO3)2·6H2O,DMF/H2O/EtOH,Nessuno,120,24.0,1.0,3.3,0.303,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3162277660168379,0.7936205532033676,A,True,co|non specificata|nitrate|dmf/h2o/etoh|nessuno|120|24|0.25,,curated_project_dataset
POS-0046,422,"2,5-Dihydroxyterephthalic acid (H4DOBDC)",Non specificata,Fe,FeCl2·4H2O,DMF/EtOH,Nessuno,120,24.0,1.0,3.3,0.303,,4.0,chloride,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2886751345948128,0.7881100269189626,A,True,fe|non specificata|chloride|dmf/etoh|nessuno|120|24|0.25,,curated_project_dataset
POS-0047,423,"2,5-Dihydroxyterephthalic acid (H4DOBDC)",Non specificata,Mn,Mn(OAc)2·4H2O,DMF/H2O/EtOH,Nessuno,120,24.0,1.0,3.3,0.303,,4.0,acetate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.5,0.830375,A,True,mn|non specificata|acetate|dmf/h2o/etoh|nessuno|120|24|0.25,,curated_project_dataset
POS-0048,424,"1,3,6,8-tetrakis(p-benzoic acid)pyrene (H4TBAPy)",Non specificata,Zr,ZrOCl2·8H2O,DMF/TFA,Nessuno,120,18.0,0.06,0.3,0.2,,8.0,chloride,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.23354968324845687,0.7770849366496914,B,True,zr|non specificata|chloride|dmf/tfa|nessuno|120|18|0.25,,curated_project_dataset
POS-0049,425,TCPP (Tetrakis(4-carboxyphenyl)porphyrin),Non specificata,Zr,ZrOCl2·8H2O,DMF/BA,Nessuno,120,24.0,0.04,0.23,0.1739,,8.0,chloride,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.23354968324845687,0.7770849366496914,B,True,zr|non specificata|chloride|dmf/ba|nessuno|120|24|0.25,,curated_project_dataset
POS-0050,426,"3,3',5,5'-Azobenzenetetracarboxylic acid (H4ABTC)",Non specificata,Fe,Fe(NO3)3·9H2O,DMF,Nessuno,150,24.0,0.3,0.6,0.5,,9.0,nitrate,3.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2886751345948128,0.7881100269189626,A,True,fe|non specificata|nitrate|dmf|nessuno|150|24|0.5,,curated_project_dataset
POS-0051,429,"2,6-NDC (0.5) / H3BTC (0.5)",Non specificata,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,120,24.0,1.0,2.0,0.5,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2773500981126145,0.7858450196225228,A,True,zn|non specificata|nitrate|dmf|nessuno|120|24|0.5,,curated_project_dataset
POS-0052,430,"2,6-NDC (1.0) / DABCO (0.5)",Non specificata,Ni,Ni(NO3)2·6H2O,DMF,Nessuno,120,48.0,1.5,1.0,1.5,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3396831102433787,0.7983116220486758,A,True,ni|non specificata|nitrate|dmf|nessuno|120|48|1.5,,curated_project_dataset
POS-0053,435,"1,3,5-tris(4-carboxyphenyl)benzene (BTB)",Non specificata,Zn,Zn(NO3)2·6H2O,DEF,Nessuno,85,48.0,0.34,1.8,0.1889,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2773500981126145,0.7858450196225228,A,True,zn|non specificata|nitrate|def|nessuno|80|48|0.25,,curated_project_dataset
POS-0054,436,"1,3,5-BTB (0.2) / 2,6-NDC (0.2)",Non specificata,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,85,24.0,0.4,1.2,0.3333,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2773500981126145,0.7858450196225228,A,True,zn|non specificata|nitrate|dmf|nessuno|80|24|0.25,,curated_project_dataset
POS-0055,437,"3,3',5,5'-Biphenyltetracarboxylic acid",Non specificata,Cu,Cu(NO3)2·2.5H2O,DMF/H2O/EtOH,Nessuno,65,24.0,0.3,1.0,0.3,,2.5,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3162277660168379,0.7936205532033676,A,True,cu|non specificata|nitrate|dmf/h2o/etoh|nessuno|60|24|0.25,,curated_project_dataset
POS-0056,438,2-Bromoterephthalic acid,Non specificata,Zr,ZrCl4,DMF/HCl,Nessuno,120,24.0,1.0,1.0,1.0,,0.0,chloride,4.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.15,0.760375,B,True,zr|non specificata|chloride|dmf/hcl|nessuno|120|24|1.0,,curated_project_dataset
POS-0057,439,"1,2,4,5-Benzenetetracarboxylic acid",Non specificata,Zr,ZrCl4,DMF/HCl,Nessuno,120,24.0,0.5,1.0,0.5,,0.0,chloride,4.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.23354968324845687,0.7770849366496914,B,True,zr|non specificata|chloride|dmf/hcl|nessuno|120|24|0.5,,curated_project_dataset
POS-0058,440,"2,5-Dihydroxyterephthalic acid",Non specificata,Zr,ZrCl4,DMF/HCl,Nessuno,120,24.0,1.0,1.0,1.0,,0.0,chloride,4.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.15,0.760375,B,True,zr|non specificata|chloride|dmf/hcl|nessuno|120|24|1.0,,curated_project_dataset
POS-0059,441,Terphenyldicarboxylic acid (TPDC),Non specificata,Zr,ZrCl4,DMF/HCl,Nessuno,120,24.0,0.5,0.5,1.0,,0.0,chloride,4.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.15,0.760375,B,True,zr|non specificata|chloride|dmf/hcl|nessuno|120|24|1.0,,curated_project_dataset
POS-0060,442,2-Nitroimidazole,Non specificata,Co,Co(NO3)2·6H2O,DMF,Nessuno,100,48.0,4.0,1.0,4.0,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3162277660168379,0.7936205532033676,A,True,co|non specificata|nitrate|dmf|nessuno|100|48|4.0,,curated_project_dataset
POS-0061,443,Imidazole-2-carboxaldehyde,Non specificata,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,100,18.0,4.0,1.0,4.0,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.2773500981126145,0.7858450196225228,A,True,zn|non specificata|nitrate|dmf|nessuno|100|18|4.0,,curated_project_dataset
